id,issue_number,issue_url,p0_id,title,owner_team,owner_role,suggested_owner_handle,severity,dependencies,labels,gates,assigned_milestone,target_due,suggested_due_phase,acceptance_notes
43,P0-005,https://github.com/Render-Network-OS/sw4p-earn/issues/43,P0-005,Backend: Add MM/POL wallet exclusion classes,Backend,Backend,codex-spark-backend,Critical,"P0-004",p0-anti-wash p0-mm,"G5,G6",P0 Unresolved Gate Closure,2026-07-03,Wave1,"Block MM/POL rewards; add integration evidence on excluded volume"
44,P0-006,https://github.com/Render-Network-OS/sw4p-earn/issues/44,P0-006,Solidity: ProtocolOwnedLiquidityVault tests + pause path,Solidity,Solidity,codex-spark-contracts,High,"",p0-contracts,"G3",P0 Unresolved Gate Closure,2026-07-01,Wave1,"POL vault pause + coverage closure + Foundry report"
45,P0-007,https://github.com/Render-Network-OS/sw4p-earn/issues/45,P0-007,Solidity: LPVault withdraw/share inflation and multi-depositor tests,Solidity,Solidity,codex-spark-contracts,High,"",p0-contracts,"G3",P0 Unresolved Gate Closure,2026-07-01,Wave1,"LPVault math and inflation attacks"
46,P0-008,https://github.com/Render-Network-OS/sw4p-earn/issues/46,P0-008,Solidity: Resolve adapter topology across vault reward paths,Solidity,Solidity,codex-spark-contracts,High,"P0-006;P0-007",p0-contracts,"G3,G4",P0 Unresolved Gate Closure,2026-07-05,Wave2,"Finalize deployment routing topology and topology test matrix"
47,P0-009,https://github.com/Render-Network-OS/sw4p-earn/issues/47,P0-009,Backend/Tokenomics: Centralize policy manifest and bucket registry,Backend/Tokenomics,Backend,codex-spark-policy,High,"",p0-policy,"G6,G10",P0 Unresolved Gate Closure,2026-07-02,Wave1,"Manifest + bucket registry + policy hash endpoint"
48,P0-010,https://github.com/Render-Network-OS/sw4p-earn/issues/48,P0-010,Founder/Tokenomics: Explicit LP/stake split decision for P0,Founder/Tokenomics,Founder,codex-spark-founder,High,"P0-009",needs-founder-decision,"G6,G7,G8",P0 Unresolved Gate Closure,2026-06-30,Wave1,"Policy decision + epoch snapshot field"
49,P0-011,https://github.com/Render-Network-OS/sw4p-earn/issues/49,P0-011,Founder/Tokenomics: Resolve DEX LP fee APY treatment and anti-double-count policy,Founder/Tokenomics,Founder,codex-spark-founder,High,"P0-009",needs-founder-decision,"G7,G8",P0 Unresolved Gate Closure,2026-06-30,Wave1,"Finalize APR decomposition model"
50,P0-012,https://github.com/Render-Network-OS/sw4p-earn/issues/50,P0-012,Backend: Fee ledger and outbox integration harness,Backend,Backend,codex-spark-backend,High,"P0-009",p0-services,"G4,G6",P0 Unresolved Gate Closure,2026-07-04,Wave2,"Fee-path integration + idempotency proof"
51,P0-017,https://github.com/Render-Network-OS/sw4p-earn/issues/51,P0-017,SRE/Safe: Execute pause/unpause full system drill,SRE/Safe Captain,Ops,codex-spark-ops,Critical,"P0-015",p0-ops,"G9",P0 Unresolved Gate Closure,2026-07-06,Wave3,"Run pause recovery runbook, collect tx hashes"
52,P0-018,https://github.com/Render-Network-OS/sw4p-earn/issues/52,P0-018,Backend/Safe: Reward epoch synthetic close + wrong-root rejection drill,Backend/Safe Captain,Backend+Safe,codex-spark-ops,Critical,"P0-003;P0-013",p0-ops p0-rewards,"G6,G9",P0 Unresolved Gate Closure,2026-07-06,Wave3,"Synthetic close + wrong root rejection evidence"
53,P0-019,https://github.com/Render-Network-OS/sw4p-earn/issues/53,P0-019,Backend/SRE: Anti-wash liveness 24h gate,Backend/SRE,Backend+SRE,codex-spark-backend,Critical,"P0-004",p0-anti-wash p0-ops,"G5,G6,G9",P0 Unresolved Gate Closure,2026-07-06,Wave3,"24h liveness/lag report + epoch build gate proof"
54,P0-020,https://github.com/Render-Network-OS/sw4p-earn/issues/54,P0-020,Audit: Assemble external audit evidence pack,Audit Captain,Audit,codex-spark-audit,High,all,p0-audit,"G10",P0 Unresolved Gate Closure,2026-07-07,Wave3,"Create final evidence pack mapping all P0 IDs"
